sysTime 	ACTION 	ChannelUsed 	TransJob 	CPU 	RunningJob 	ActionQos 
108960	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
108970	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
108980	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
108990	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
109000	5	32.19280948873623	2	2.7755575615628914e-17	0	3593.4881128727666
109010	5	16.096404744368108	1	0.10000000000000003	1	3593.4881128727666
109020	5	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
109030	5	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
109040	5	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
109050	0	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
109060	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109070	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109080	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109090	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109100	3	32.19280948873623	2	0.10000000000000003	1	1437.3952451491068
109110	3	-1.4210854715202004e-14	0	0.10000000000000003	1	10780.4643386183
109120	3	-1.4210854715202004e-14	0	0.20000000000000004	2	10780.4643386183
109130	3	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491066
109140	3	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491066
109150	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491066
109160	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
109170	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
109180	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
109190	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3593.4881128727666
109200	5	32.19280948873623	2	2.7755575615628914e-17	0	3593.4881128727666
109210	5	16.096404744368108	1	0.10000000000000003	1	3593.4881128727666
109220	5	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
109230	5	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
109240	5	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
109250	0	-1.4210854715202004e-14	0	0.10000000000000003	1	3593.4881128727666
109260	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
109270	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
109280	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
109290	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
109300	28	39.45516087506906	3	2.7755575615628914e-17	0	1437.3952451491068
109310	28	39.45516087506906	3	2.7755575615628914e-17	0	1437.3952451491068
109320	28	13.151720291689678	1	0.10000000000000003	1	1437.3952451491068
109330	28	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
109340	28	-1.4210854715202004e-14	0	0.30000000000000004	3	1437.3952451491068
109350	0	-1.4210854715202004e-14	0	0.30000000000000004	3	1437.3952451491068
109360	0	-1.4210854715202004e-14	0	0.10000000000000003	1	278.3052187231774
109370	0	-1.4210854715202004e-14	0	0.10000000000000003	1	278.3052187231774
109380	0	-1.4210854715202004e-14	0	0.10000000000000003	1	278.3052187231774
109390	0	-1.4210854715202004e-14	0	0.10000000000000003	1	278.3052187231774
109400	5	32.19280948873623	2	2.7755575615628914e-17	0	2783.052187231774
109410	5	16.096404744368108	1	0.10000000000000003	1	2783.052187231774
109420	5	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
109430	5	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
109440	5	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
109450	0	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
109460	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109470	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109480	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109490	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
109500	1	20.75187496394218	1	0.10000000000000003	1	1437.3952451491068
109510	1	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
109520	1	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
109530	1	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
109540	1	-1.4210854715202004e-14	0	0.10000000000000003	1	14373.952451491066
109550	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
109560	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
109570	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
109580	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
109590	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
109600	11	39.45516087506906	3	2.7755575615628914e-17	0	3716.226829519546
109610	11	13.151720291689678	1	0.10000000000000003	1	3716.226829519546
109620	11	-1.4210854715202004e-14	0	0.20000000000000004	2	3716.226829519546
109630	11	-1.4210854715202004e-14	0	0.30000000000000004	3	3716.226829519546
109640	11	-1.4210854715202004e-14	0	0.30000000000000004	3	3716.226829519546
109650	0	-1.4210854715202004e-14	0	0.30000000000000004	3	3716.226829519546
109660	0	-1.4210854715202004e-14	0	0.20000000000000004	2	695.7630468079436
109670	0	-1.4210854715202004e-14	0	0.20000000000000004	2	695.7630468079436
109680	0	-1.4210854715202004e-14	0	0.20000000000000004	2	695.7630468079436
109690	0	-1.4210854715202004e-14	0	0.20000000000000004	2	695.7630468079436
109700	1	20.75187496394218	1	0.10000000000000003	1	5566.104374463549
109710	1	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109720	1	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109730	1	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109740	1	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109750	0	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109760	0	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109770	0	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109780	0	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109790	0	-1.4210854715202004e-14	0	0.10000000000000003	1	10436.445702119154
109800	1	20.75187496394218	1	0.10000000000000003	1	10436.445702119154
109810	1	-1.4210854715202004e-14	0	0.20000000000000004	2	10436.445702119154
109820	1	-1.4210854715202004e-14	0	0.20000000000000004	2	10436.445702119154
109830	1	-1.4210854715202004e-14	0	0.20000000000000004	2	10436.445702119154
109840	1	-1.4210854715202004e-14	0	0.10000000000000003	1	14864.907318078183
109850	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14864.907318078183
109860	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14864.907318078183
109870	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14864.907318078183
109880	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14864.907318078183
109890	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14864.907318078183
109900	3	32.19280948873623	2	0.10000000000000003	1	14864.907318078183
109910	3	-1.4210854715202004e-14	0	0.10000000000000003	1	11148.680488558637
109920	3	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
109930	3	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
109940	3	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
109950	0	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
109960	0	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
109970	0	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
109980	0	-1.4210854715202004e-14	0	0.10000000000000003	1	4312.1857354473195
109990	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	7186.976225745533
110000	5	32.19280948873623	2	2.7755575615628914e-17	0	7186.976225745533
110010	5	16.096404744368108	1	0.10000000000000003	1	7186.976225745533
110020	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110030	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110040	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110050	0	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110060	0	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110070	0	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110080	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2156.09286772366
110090	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2156.09286772366
110100	26	39.45516087506906	3	0.10000000000000003	1	2156.09286772366
110110	26	26.30344058337937	2	0.10000000000000003	1	10780.4643386183
110120	26	13.151720291689678	1	0.20000000000000004	2	10780.4643386183
110130	26	-1.4210854715202004e-14	0	0.30000000000000004	3	10780.4643386183
110140	26	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
110150	0	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
110160	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1043.6445702119154
110170	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1043.6445702119154
110180	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1043.6445702119154
110190	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1043.6445702119154
110200	5	32.19280948873623	2	2.7755575615628914e-17	0	1043.6445702119154
110210	5	16.096404744368108	1	0.10000000000000003	1	1043.6445702119154
110220	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1043.6445702119154
110230	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1043.6445702119154
110240	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1043.6445702119154
110250	0	-1.4210854715202004e-14	0	0.20000000000000004	2	1043.6445702119154
110260	0	-1.4210854715202004e-14	0	0.20000000000000004	2	1043.6445702119154
110270	0	-1.4210854715202004e-14	0	0.20000000000000004	2	1043.6445702119154
110280	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2156.09286772366
110290	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2156.09286772366
110300	1	20.75187496394218	1	0.10000000000000003	1	2156.09286772366
110310	1	-1.4210854715202004e-14	0	0.20000000000000004	2	2156.09286772366
110320	1	-1.4210854715202004e-14	0	0.20000000000000004	2	2156.09286772366
110330	1	-1.4210854715202004e-14	0	0.20000000000000004	2	2156.09286772366
110340	1	-1.4210854715202004e-14	0	0.10000000000000003	1	14373.952451491066
110350	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
110360	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
110370	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
110380	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
110390	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	3716.226829519546
110400	30	44.4784842672896	4	2.7755575615628914e-17	0	3716.226829519546
110410	30	44.4784842672896	4	2.7755575615628914e-17	0	3716.226829519546
110420	30	22.239242133644794	2	0.10000000000000003	1	3716.226829519546
110430	30	-1.4210854715202004e-14	0	0.20000000000000004	2	3716.226829519546
110440	30	-1.4210854715202004e-14	0	0.30000000000000004	3	3716.226829519546
110450	0	-1.4210854715202004e-14	0	0.4	4	3716.226829519546
110460	0	-1.4210854715202004e-14	0	0.30000000000000004	3	269.70751273064684
110470	0	-1.4210854715202004e-14	0	0.30000000000000004	3	269.70751273064684
110480	0	-1.4210854715202004e-14	0	0.20000000000000004	2	674.2687818266172
110490	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2697.0751273064684
110500	1	20.75187496394218	1	0.10000000000000003	1	2697.0751273064684
110510	1	-1.4210854715202004e-14	0	0.20000000000000004	2	2697.0751273064684
110520	1	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110530	1	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110540	1	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110550	0	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110560	0	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110570	0	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110580	0	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110590	0	-1.4210854715202004e-14	0	0.10000000000000003	1	5394.150254612938
110600	3	32.19280948873623	2	0.10000000000000003	1	5394.150254612938
110610	3	-1.4210854715202004e-14	0	0.10000000000000003	1	11148.680488558637
110620	3	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
110630	3	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
110640	3	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
110650	0	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
110660	0	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
110670	0	-1.4210854715202004e-14	0	0.20000000000000004	2	11148.680488558637
110680	0	-1.4210854715202004e-14	0	0.10000000000000003	1	4312.1857354473195
110690	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	7186.976225745533
110700	5	32.19280948873623	2	2.7755575615628914e-17	0	7186.976225745533
110710	5	16.096404744368108	1	0.10000000000000003	1	7186.976225745533
110720	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110730	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110740	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7186.976225745533
110750	0	-1.4210854715202004e-14	0	0.10000000000000003	1	3593.4881128727666
110760	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
110770	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
110780	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
110790	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1437.3952451491068
110800	5	32.19280948873623	2	2.7755575615628914e-17	0	1437.3952451491068
110810	5	16.096404744368108	1	0.10000000000000003	1	1437.3952451491068
110820	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
110830	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
110840	5	-1.4210854715202004e-14	0	0.10000000000000003	1	718.6976225745534
110850	0	-1.4210854715202004e-14	0	0.10000000000000003	1	718.6976225745534
110860	0	-1.4210854715202004e-14	0	0.10000000000000003	1	718.6976225745534
110870	0	-1.4210854715202004e-14	0	0.10000000000000003	1	718.6976225745534
110880	0	-1.4210854715202004e-14	0	0.10000000000000003	1	718.6976225745534
110890	0	-1.4210854715202004e-14	0	0.10000000000000003	1	718.6976225745534
110900	1	20.75187496394218	1	0.10000000000000003	1	718.6976225745534
110910	1	-1.4210854715202004e-14	0	0.20000000000000004	2	718.6976225745534
110920	1	-1.4210854715202004e-14	0	0.20000000000000004	2	718.6976225745534
110930	1	-1.4210854715202004e-14	0	0.20000000000000004	2	718.6976225745534
110940	1	-1.4210854715202004e-14	0	0.10000000000000003	1	14373.952451491066
