No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
2001	4	1015	104.85	104.85	0.003084058674756107	0.25	0.03363626757308587	0.07
2002	2	515	104.95	104.96	0.011928129482900694	0.15	0.10435543077397609	0.05
2003	4	1016	104.95	104.95	0.003976043160966898	0.25	0.03478514359132537	0.07
2004	4	1017	105.05	105.05	0.003976043160966898	0.125	0.03478514359132537	0.04
2005	2	516	105.05	105.06	0.011928129482900694	0.3	0.10435543077397609	0.09
2006	2	517	105.15	105.16	0.011928129482900694	0.225	0.10435543077397609	0.07
2007	4	1018	105.15	105.15	0.003976043160966898	0.375	0.03478514359132537	0.1
2008	4	1019	105.25	105.25	0.003084058674756107	0.25	0.03363626757308587	0.07
2009	2	518	105.35	105.36	0.011928129482900694	0.075	0.10435543077397609	0.03
2010	4	1020	105.35	105.35	0.003976043160966898	0.125	0.03478514359132537	0.04
2011	2	519	105.45	105.46	0.011928129482900694	0.3	0.10435543077397609	0.09
2012	4	1021	105.45	105.45	0.003976043160966898	0.5	0.03478514359132537	0.13
2013	4	1022	105.55	105.55	0.003084058674756107	0.5	0.03363626757308587	0.13
2014	4	1023	105.65	105.65	0.003084058674756107	0.25	0.03363626757308587	0.07
2015	2	520	105.75	105.76	0.011928129482900694	0.15	0.10435543077397609	0.05
2016	4	1024	105.75	105.75	0.003976043160966898	0.5	0.03478514359132537	0.13
2017	4	1025	105.85	105.85	0.003084058674756107	0.125	0.03363626757308587	0.04
2018	2	521	105.95	105.96	0.011928129482900694	0.075	0.10435543077397609	0.03
2019	4	1026	105.95	105.95	0.003976043160966898	0.25	0.03478514359132537	0.07
2020	2	522	106.05	106.06	0.011928129482900694	0.3	0.10435543077397609	0.09
2021	4	1027	106.05	106.05	0.003976043160966898	0.5	0.03478514359132537	0.13
2022	4	1028	106.15	106.15	0.003084058674756107	0.375	0.03363626757308587	0.1
2023	3	258	106.25	106.25	0.007952086321933796	0.1	0.06957028718265074	0.02
2024	4	1029	106.25	106.26	0.003976043160966898	0.25	0.03478514359132537	0.08
2025	4	1030	106.35	106.35	0.003976043160966898	0.25	0.03478514359132537	0.07
2026	2	523	106.35	106.36	0.011928129482900694	0.225	0.10435543077397609	0.07
2027	4	1031	106.45	106.45	0.003976043160966898	0.125	0.03478514359132537	0.04
2028	2	524	106.45	106.46	0.011928129482900694	0.15	0.10435543077397609	0.05
2029	2	525	106.55	106.56	0.011928129482900694	0.225	0.10435543077397609	0.07
2030	4	1032	106.55	106.55	0.003976043160966898	0.375	0.03478514359132537	0.1
